source_file,vessel_id,target_type,hull_count,hull_type,propulsion,length_overall_ft,beam_ft,draft_ft,displacement_kg,hull_material,engine_count,engine_type,fuel_type,sail_area_sqft,mast_count,rig_type,cabin_count,berth_count,year_built,price_usd,location_country,builder,model,condition,engine_hours,max_speed_knots,cruising_speed_knots,range_nm,fuel_capacity_l,water_capacity_l,generator_onboard,air_conditioning,flybridge,helm_count,beam_to_length_ratio,brand_popularity_score,electronics_score,safety_gear_score,photos_count,has_trailer,listing_description,created_at
power_catamaran_000.pdf,AQ44-2018-FTL-00127,Brokerage - For Sale,2,Catamaran (semi-displacement),"Twin inboard diesel, straight shafts",44.9,21.6,3.8,14700,Fiberglass (GRP),2,Volvo Penta D4-300 inboard diesels (300 hp each),Diesel,0,0,None,3,6,2018,795000,United States,Aquila Power Catamarans (Sino Eagle Yachts),Aquila 44,Used - Excellent,850,22,17,280,1500,680,True,True,True,2,0.48,8.7,9.1,8.9,42,False,"Well-kept 2018 Aquila 44 Power Catamaran in excellent condition, equipped for efficient coastal cruising and island hopping. With twin Volvo Penta D4-300 diesels, a stable semi-displacement hull, and a spacious flybridge with hardtop, this Aquila delivers comfort, performance, and economy. Accommodations: - Three-cabin, three-head layout: full-beam owner’s suite to starboard with private head, two guest cabins to port each with en-suite - Bright salon with 360-degree views, sliding aft doors for true indoor/outdoor living - U-shaped galley up with propane cooktop, convection microwave, upright fridge/freezer, generous storage - Reverse-cycle air conditioning throughout - Large forward lounging area accessed via salon door; aft cockpit with seating and teak table Helm and Flybridge: - Dual helms: interior lower helm and flybridge helm - Flybridge hardtop, generous seating, wet bar with sink and fridge, and clear sightlines for easy docking Performance and Capacities: - Twin Volvo Penta D4-300 (300 hp each), approx. 850 hours, serviced on schedule - Max speed ~22 knots; comfortable cruise ~17 knots - Range ~280 nm at typical cruise - Fuel: 1,500 L; Water: 680 L - Draft ~3.8 ft—ideal for skinny-water anchorages - Onan 9 kW generator for off-grid comfort Electronics and Electrical: - Garmin multifunction displays at both helms, digital switching - Garmin radar, GPS/plotter, AIS, autopilot, depth/speed, VHF with DSC - Fusion/JL Audio entertainment system - 12V/110V systems, inverter/charger, shore power connections - LED lighting throughout Deck and Handling: - Wide side decks with high rails; forward and aft boarding options - Electric windlass with Rocna-style anchor, chain rode - Transom swim platforms and hot/cold cockpit shower - Davit system for tender (tender not included in price, negotiable) Safety and Gear: - USCG-compliant safety package: offshore PFDs, throwables, flares, horn - Fire suppression in engine rooms, handheld extinguishers - EPIRB and carbon monoxide detectors - Bilge pumps with alarms Condition and Service: - Professionally maintained and lightly cruised - Engines and generator serviced at manufacturer intervals - Gelcoat and non-skid in excellent condition; interior fabrics and joinery show minimal wear - Recent bottom service and zincs (2025 season) Why this Aquila 44: - Desirable 3-cabin/3-head layout with dual helms and large flybridge - Efficient, stable ride with catamaran poise - Turn-key cruising package with generator and air conditioning - High-res electronics suite and thorough safety gear Notes: - Shown by appointment; detailed service records available for qualified buyers - Located in the United States; import/export assistance available if needed - Trades considered; financing options available through marine lenders Broker Notes: Additional photos available upon request Authorized Signature Contact: +1-295-636-3217",2025-11-15T10:23:00Z
power_catamaran_001.pdf,PCAT-LEO43-2020-FTL-1183,Power Catamaran,2,"Catamaran, semi-displacement",Twin inboard shaft drive,42.7,22.1,3.1,14200,Fiberglass (GRP),2,Yanmar 8LV-320 V8 diesel inboards,Diesel,0,0,None,3,6,2020,749000,United States,Leopard Catamarans (Robertson & Caine),43 Powercat,Used - Excellent,865,24,17,250,1000,780,True,True,True,2,0.52,88,90,86,52,False,"Impeccably maintained 2020 Leopard 43 Powercat in excellent condition, privately owned and never chartered. Powered by twin Yanmar 8LV-320 V8 diesels (320 hp each) on reliable straight shafts, this 43 PC delivers a fast, comfortable, and efficient ride with a 24-knot top end and an effortless 17-knot cruise. With her broad 22'1"" beam and semi-displacement hulls, she offers exceptional stability, generous living spaces, and low fuel burn for a boat in this class. Layout and comfort: - Owner’s 3-cabin, 3-berth layout (6 berths total) with a spacious owner’s suite to starboard and two guest cabins to port - Galley-up with expansive countertop space, full-size refrigerator/freezer, 3-burner cooktop, oven, and microwave - Light-filled salon with panoramic windows and sliding door to the aft cockpit, creating a true indoor/outdoor living area - Air conditioning throughout (multi-zone) with reverse-cycle heat; quiet operation at anchor via onboard generator Flybridge and helm: - Large flybridge with hardtop, lounge seating, dinette table, wet bar with sink and grill, and a commanding helm position - Dual helms (flybridge and inside) for all-weather versatility and excellent visibility when docking Equipment and upgrades: - Electronics: Dual Garmin 12"" MFDs at flybridge helm, Garmin radar, GPS/Chartplotter, autopilot, AIS transceiver, depth/speed/wind instruments, VHF with DSC, and a second MFD at the interior helm - Power systems: 9 kW Northern Lights generator, 3000W inverter/charger, 50A shore power, AGM house bank (updated 2023) - Comfort and cruising: Electric windlass with remote, oversized Rocna-style anchor and all-chain rode, LED lighting throughout, freshwater electric toilets, cockpit sunshade, flybridge enclosure panels - Tankage: 1000 L diesel, 780 L freshwater; practical real-world range ~250 nm at fast cruise - Safety: 8-man coastal liferaft (service 2024), EPIRB, automatic engine-room fire suppression, throwable devices, offshore flares (current), multiple extinguishers, carbon monoxide and smoke detectors Performance and handling: - Efficient semi-displacement cat hulls provide a soft, dry ride and excellent fuel economy for a 43' power catamaran - Easy close-quarters handling with widely spaced shafts and excellent sightlines from the flybridge helm Care and maintenance: - Engines and generator serviced at 800 hours (fluids, filters, impellers) - Bottom paint and propspeed completed 2024 - Regular detailing and preventative maintenance log available Why this Leopard 43 PC: The Leopard 43 Powercat stands out for its combination of speed, efficiency, and livability. The 3-cabin owner’s configuration, robust Yanmar power, dual-helm flexibility, and fully spec’d electronics make this a turn-key vessel for coastal cruising, island hopping, or extended weekends aboard. She presents beautifully and is ready for immediate inspection. Broker Notes: Additional photos available upon request",2025-11-15T14:32:00Z
power_catamaran_002.pdf,PCAT-19LEO43-FTL-000872,Power Catamaran,2,Catamaran,Twin diesel inboards,42.8,22.1,3.1,13200,Fiberglass (GRP),2,Inboard diesel,Diesel,0,0,None,3,6,2019,639000,United States,Robertson & Caine (Leopard Catamarans),Leopard 43 Powercat,Used,1450,22,17,700,1000,780,True,True,True,1,0.52,9.1,8.7,9,42,False,"2019 Leopard 43 Powercat in excellent condition, professionally maintained and turnkey for extended cruising or comfortable liveaboard. This popular power catamaran delivers outstanding fuel efficiency, stability, and interior volume. The wide 22'1"" beam provides a massive salon and galley with 360-degree visibility, plus a highly functional aft cockpit and an expansive flybridge with lounge seating and a wet bar. Propulsion is via twin inboard diesels (commonly Yanmar 260 hp class) offering a fast cruise of ~17 knots and top speeds around 22 knots, with economical long-range capability at displacement speeds. The owner’s 3-cabin layout features a private starboard owner’s suite with a large head and separate shower, and two guest cabins port side. Notable equipment includes an Onan/Northern Lights-style 9 kW class generator, air conditioning throughout salon and cabins, bow thruster assistance for close-quarters maneuvering (where fitted on this model), Raymarine Axiom MFDs with radar, AIS transceiver, autopilot, and a full safety suite with offshore PFDs, throwables, EPIRB, and a 6-person valise life raft (service current). The galley is equipped with a full-size fridge/freezer, 3-burner cooktop, microwave/convection oven, and generous storage. Recent services include engines and generator annuals, new house batteries within the last 12 months, and fresh bottom paint in-season. Upholstery and soft goods are clean and present well; exterior gelcoat shows a deep shine. Ideal for island hopping, Great Loop segments, or Bahamas cruising with shallow 3’1” draft and excellent seakeeping for a vessel in this class. Shown by appointment in South Florida. Survey and maintenance records available to qualified buyers.",2025-11-15T10:32:00Z
power_catamaran_003.pdf,PCAT-LEO43PC-2019-00872,Power Catamaran,2,Semi-displacement catamaran,"Twin diesel inboards, shaft drive",42.8,22.1,3.1,13000,Fiberglass (GRP),2,Inboard,Diesel,0,0,None,3,6,2019,599000,United States,Robertson & Caine,Leopard 43 Powercat,Used - Excellent,850,23,17,290,1000,780,True,True,True,2,0.516,90,88,86,44,False,"This 2019 Leopard 43 Powercat presents in excellent condition and is turnkey for coastal cruising or island hopping. Designed and built by Robertson & Caine in Cape Town, the 43 PC blends economy, stability, and space with the performance of twin diesel inboards. The wide 22'1"" beam delivers a massive salon and cockpit, plus a commanding flybridge with full enclosure and seating for a crowd.
Power and performance:
- Twin Yanmar 8LV-320 inboard diesels (320 hp each), approx. 850 engine hours
- Cruise 17 knots; top speed up to 23 knots (conditions/loads permitting)
- Typical fuel burn ~60 L/hr at 17 knots (both engines), yielding an operational range around 280–320 nm with 1000 L fuel
- Shaft drive for reliability and easy service; electronic controls at both helms
Layout and accommodations:
- Three-cabin, three-head “owner’s version”: full starboard hull owner’s suite with queen berth, vanity/desk, and private head with separate shower
- Port hull with two guest cabins, each with en-suite head and shower
- Bright salon with panoramic windows, dinette to starboard, and aft galley with large counter space
- Cockpit and salon on a single level for easy indoor-outdoor living; wide transom steps for water access
Systems and options:
- Onan 9 kW diesel generator (approx. 620 hrs) powering multi-zone air conditioning and ship’s systems
- 780 L fresh water capacity; hot water via calorifier and generator/shore power
- 3000 W inverter/charger, 60 A shore charger, and 600 W solar array with MPPT controller
- 12V/110V distribution with upgraded house battery bank (AGM, new 2024)
- Electric freshwater flush heads, LED lighting throughout
Electronics and navigation:
- Dual Garmin 12"" multifunction displays (flybridge and interior helm)
- Garmin HD radar, GPS/Chartplotter, AIS Class B transceiver
- Garmin autopilot, depth/speed/temperature transducers
- VHF with DSC and remote mic to flybridge
- Fusion multi-zone audio with Bluetooth and cockpit/flybridge speakers
- Forward-facing docking camera and underwater lights
Deck and handling:
- Flybridge hardtop with full canvas/isinglass enclosure, L-shaped settee, wet bar, and helm seating
- Electric windlass with helm and deck controls, 60 lb primary anchor with ample chain/rode
- High-freeboard bows and bridgedeck clearance designed to reduce slamming
- Integrated davits for tender (tender not included in sale)
- Non-skid decks, stainless rails, and wide side decks for safe movement
Safety and maintenance:
- USCG safety package: lifejackets, flares, throwables, horn, and nav lights
- 6-person coastal liferaft (service current through 2026), EPIRB, and fire suppression in engine rooms
- Bottom paint and propspeed completed December 2024
- Engines and generator serviced April 2025; heat exchangers inspected/serviced
- All manuals and service records on file
Notable advantages:
- Exceptional fuel efficiency for a planing-capable power boat thanks to twin slender hulls
- Stable platform at rest and underway; minimal roll compared to monohulls
- Huge volume for a 43-foot platform with two true helms (flybridge and interior) and climate-controlled living spaces
Currently lying in Fort Lauderdale, Florida, USA, and shown by appointment. Clean title, no known damage history, and survey-ready.",2025-11-15T10:22:00Z
power_catamaran_004.pdf,L43PC-2018-FTL-00721,Power Catamaran,2,"Catamaran, semi-displacement","Twin inboard diesel, shaft drive",43.3,22.1,3.1,13900,Fiberglass (GRP),2,"Yanmar 8LV320 V8 inboard diesels, 320 hp each",Diesel,0,0,None,3,6,2018,689000,United States,Robertson & Caine (South Africa),Leopard 43 Powercat,Used - Excellent,1180,24,17,280,1000,780,True,True,True,1,0.51,86,88,92,47,False,"This 2018 Leopard 43 Powercat presents in excellent condition and is turnkey for coastal cruising or island-hopping. Designed and built by Robertson & Caine, the 43 PC delivers the efficiency, stability, and deck space power-cat buyers demand. Wide side decks, a protected aft cockpit, and a commanding flybridge helm make her easy to handle short-handed and ideal for family cruising.
Power and Performance:
- Twin Yanmar 8LV320 (320 hp each) V8 diesel inboards on shaft drive. Approx. 1,180 engine hours with recent services (2025 oil/filters, impellers, heat exchanger inspection).
- Comfortable cruise at 17 knots; top speed ~24 knots lightship. Real-world cruising range ~280 nm at 17 knots (significantly more at displacement speeds).
- Shallow 3.1 ft draft for gunkholing and island anchorages; excellent fuel efficiency from the semi-displacement cat hulls.
Layout and Comfort:
- 3-cabin owner’s layout with 2 heads: spacious owner’s suite to starboard with private head and separate shower; two guest cabins to port with shared head.
- Bright “galley-up” with panoramic windows, solid-surface counters, large fridge/freezer, propane cooktop/oven, and ample storage.
- Air conditioning (3-zone) keeps salons and cabins cool at the dock or on the hook (shore power or genset).
- Expansive flybridge with hardtop, wrap-around seating, wet bar with sink and fridge, and single flybridge helm for superb visibility.
- Generous cockpit for alfresco dining; easy transom access to water and tender.
Systems and Upgrades:
- Generator: Northern Lights 9 kW (approx. 1,050 hrs) for full off-grid capability.
- Solar: 680 W on hardtop with MPPT controller to support the 12V house systems.
- Inverter/charger: 3000 W pure sine with upgraded AGM house bank; 50A shore service with smart charger.
- Water: 780 L fresh water capacity, hot/cold pressure water, and efficient water heater.
- Fuel: 1000 L diesel in baffled tanks with dual Racor filtration per engine.
Navigation and Electronics:
- Raymarine Axiom 12 MFD at flybridge, Quantum radar, Evolution autopilot, AIS700 Class B transceiver, dual i70s data displays, and Raymarine VHF with remote mic.
- High-output LED lighting, underwater lights at stern, Fusion RA770 audio with cabin and cockpit zones, and Bluetooth streaming.
Safety:
- FireBoy automatic fire suppression in both engine rooms; handheld extinguishers throughout.
- ACR GlobalFix V4 EPIRB; AIS-equipped; horn, flares, and signaling kit.
- 6-person valise liferaft (service current to 2027), offshore PFDs with tethers, jacklines, smoke/CO detectors.
Service and Condition Notes:
- Bottom paint and propspeed (2024).
- Recent canvas/isinglass refresh on flybridge (2024).
- Meticulous maintenance log, light private use, never chartered. Clean engine rooms and dry bilges.
Why This Boat:
The Leopard 43 PC is a benchmark in the 40–45 ft power-cat class, known for economical operation, massive living spaces, and outstanding seakeeping. This owner’s version has the right power, proven systems, and thoughtful upgrades ready for a season of cruising. Located in South Florida with easy access for showings; survey-ready.",2025-11-15T14:30:00Z
power_catamaran_005.pdf,RC-L43PC-2019-1057,Power Catamaran,2,Semi-displacement catamaran,Twin inboard diesel,42.7,22.1,3.1,14500,Fiberglass (GRP),2,"Inboard diesel (Yanmar 8LV-320, 320 hp each)",Diesel,0,0,None,3,6,2019,639000,United States,Robertson & Caine,Leopard 43 Powercat,Used - Excellent,1150,23,17,360,1000,780,True,True,True,1,0.52,88,86,90,46,False,"2019 Leopard 43 Powercat in exceptional condition, US-based and privately owned. This sought-after 3-cabin owner’s layout delivers outstanding fuel efficiency, a huge 22'1"" beam for stability, and a protected, fully featured flybridge with hardtop. Powered by twin Yanmar 8LV-320 V8 diesels (320 hp each, 1,150 hours), she cruises comfortably at 17 knots and reaches 23 knots top speed. Recent 1,000-hour service completed in 2024 with records. The flybridge offers a commanding single helm, Raymarine Axiom 12 MFD, Quantum radar, Evolution autopilot, AIS transceiver, VHF, and JL Audio sound. Social space includes a wet bar with sink, refrigeration, and Kenyon electric grill. Interior features a bright saloon with 360-degree views, convertible dinette, and an aft galley with solid-surface counters, ENO 3-burner LPG cooktop/oven, microwave, and Vitrifrigo drawer fridge/freezer. The owner’s suite spans the starboard hull with a queen berth, vanity/desk, abundant storage, and private head with separate shower. Port hull provides two guest cabins with a shared head. Climate-controlled throughout with multi-zone air conditioning. Systems include a Northern Lights 9 kW generator, Victron inverter/charger, 40A shore charger, and robust 12V/110V distribution. Large tankage (1,000 L fuel, 780 L water) supports weekends to extended cruising, and the semi-displacement hulls offer excellent economy—about 48 L/h total at 17 knots for an approximate 360 nm range. Deck gear features a Quick windlass, Rocna 20 kg anchor with 200' chain, wide side decks, and solid foredeck. Safety inventory is offshore-ready: 6-person liferaft (2023 service), ACR 406 MHz EPIRB, USCG-approved PFDs, flares, throwable devices, and fire suppression. Meticulously maintained, never chartered, and turn-key with covers, upholstery, and recent bottom paint. A standout choice for owners seeking comfort, range, and stability in a sub-45’ power catamaran.",2025-11-15T14:32:27Z
power_catamaran_006.pdf,L43PC-2019-00927,Power Catamaran,2,Catamaran (semi-displacement),"Twin inboard diesel, shaft drive",43.3,22.1,3.1,13500,Fiberglass (GRP),2,Inboard Diesel,Diesel,0,0,None,3,6,2019,649000,United States,Robertson & Caine (Leopard Catamarans),Leopard 43 Powercat,Used - Excellent,980,24,17,320,1000,780,True,True,True,2,0.51,90,92,90,48,False,"Meticulously maintained 2019 Leopard 43 Powercat in excellent condition, turnkey and cruise-ready. This highly regarded power catamaran blends fuel-efficient performance, tremendous living space, and the comfort of a true passagemaker with the stability of twin hulls.
Power and Performance
- Engines: Twin Yanmar 8LV-320 V8 diesels (320 hp each), approx. 980 hours, shaft drive
- Cruise: 17 knots at efficient burn; Max: 24 knots (conditions dependent)
- Range: Approximately 320 nm at cruising speed
- Draft: Only 3.1 ft—ideal for island hopping and shallow anchorages
- Excellent maneuverability and predictable handling in chop thanks to semi-displacement hulls
Layout and Accommodations
- 3-cabin / 2-head owner’s layout with 6 comfortable berths
- Expansive salon with panoramic windows and convertible dinette
- Galley-up with solid-surface counters, dual refrigerators, freezer, microwave/convect oven, and 3-burner cooktop
- Private owner’s suite with island berth, ample storage, and en-suite head with separate shower
- Guest hull includes two double cabins and shared head with separate shower
- Air conditioning: 3-zone chilled-water system, shore and generator capable
Deck, Helm, and Exterior
- Flybridge with hardtop, full helm, companion seating, wet bar with sink and fridge, and large dinette
- Second (lower) helm station for all-weather operation
- Wide, safe side decks, high guardrails, and excellent visibility
- Aft cockpit with lounge and table opens to the salon on a single level—superb flow for entertaining
- Electric windlass with foot switches; primary anchor: 60 lb Rocna with approx. 230 ft 10 mm chain
Electronics and Navigation (high-spec)
- Dual Garmin 12"" GPSMAP multifunction displays (upper/lower helms)
- Garmin HD radar, AIS transceiver, autopilot, depth/speed/temperature transducers
- Fusion multi-zone audio with Bluetooth and salon/flybridge/cockpit speakers
- VHF radios at both helms with DSC; integrated engine data to MFDs
- LED nav and deck lighting
Mechanical and Electrical
- Northern Lights 9 kW generator (approx. 620 hrs)
- 50A shore power, smart battery charger, 2000W inverter
- House/engine battery banks with isolation and monitoring
- Hot water heater, pressurized hot/cold water throughout (780 L fresh water capacity)
- Fuel capacity 1000 L in dedicated tanks with Racor filtration and easy access
- Recent service: engines and generator serviced 08/2025; heat exchangers/impellers 2025; bottom paint 06/2024
Safety and Gear
- USCG-compliant safety package: Type I PFDs, throwable, flares, horn
- 6-person offshore liferaft (service 2023), 406 MHz EPIRB
- Engine room automatic fire suppression and handheld extinguishers
- High-water alarms and bilge pumps in multiple compartments
Why This Boat
- Proven Leopard/Robertson & Caine build quality and market popularity
- Efficient cruising with the comfort and stability only a catamaran provides
- Flybridge plus lower helm flexibility for any weather
- Turnkey condition with recent maintenance and thoughtful upgrades
Location: Fort Lauderdale, Florida, USA. Shown by appointment only. Full photo set (48 images) and service records available upon request.
Broker Notes: Additional photos available upon request
Authorized Signature Contact: +1-837-964-6119",2025-11-15T10:22:00Z
power_catamaran_007.pdf,PC-MY44-2019-USA-0012,Power Catamaran,2,Catamaran,"Twin inboard diesel, straight shafts",44.1,21.7,4.1,16200,Fiberglass (GRP),2,Volvo Penta D6-435,Diesel,0,0,None,3,6,2019,1089000,United States,Fountaine Pajot,MY 44,Used - Excellent,860,25,18,280,2000,700,True,True,True,2,0.49,88,92,90,43,False,"This 2019 Fountaine Pajot MY 44 is a meticulously maintained, owner’s-version power catamaran that blends long-range efficiency with true motor-yacht comfort. Designed by Daniel Andrieu and Pierangelo Andreani, the MY 44 delivers a remarkably smooth, quiet ride with superb seakeeping, expansive living spaces, and class-leading fuel economy. Layout and accommodations: - 3-cabin, 3-head owner’s layout with a full-beam style salon and panoramic windows - King-size owner’s suite occupying most of one hull with a private head and separate shower - Two guest cabins each with en-suite heads - Galley-up with solid-surface counters, full-size refrigerator/freezer, convection microwave, induction cooktop, and ample storage - Large aft cockpit with dining table, side access to wide side decks, and a hydraulic swim platform/tender lift Performance and machinery: - Twin Volvo Penta D6-435 inboard diesels (860 hours), professionally serviced on schedule - Straight-shaft drives for reliability and easy maintenance - Cruising speed ~18 knots; top speed ~25 knots (sea-state and load dependent) - Approximate range 280 nm at economical cruise with 2,000 L fuel capacity - Cummins Onan 13.5 kW diesel generator (approx. 1,100 hours) powering full-boat systems - Reverse-cycle air conditioning throughout (multiple zones) - Bow camera/stern camera for close-quarters ease; integrated trim and engine monitoring Flybridge and helm: - Expansive flybridge with hardtop, forward sunpad, L-shaped seating, wetbar with sink and electric grill, and dedicated helm - Dual helms (flybridge and interior) with full instrumentation and excellent visibility - Fully enclosed clears and covers for all-weather operation Electronics and navigation: - Dual Garmin 16-inch multifunction displays at each helm - Garmin Fantom radar, GPS/plotter, CHIRP sonar - Garmin autopilot with remote, AIS Class B transceiver, DSC VHF - Wireless and wired connectivity to ship systems; NMEA backbone for future upgrades Systems and features: - Hydraulic tender lift/swim platform rated to approx. 350 kg - 24V house system with inverter/charger and upgraded AGM battery bank - LED lighting throughout; underwater lights aft - Electric windlass, stainless anchor and chain, oversized bow cleats - Freshwater capacity 700 L with filtration; hot water via calorifier and generator/shore power - Washer/dryer combo in utility space; ample dedicated storage in both hulls Safety and compliance: - USCG-compliant safety kit for 8 persons - 6-person offshore life raft (last serviced 2023) - EPIRB, flares, medical kit, throwable flotation - Sea-Fire automatic fire suppression in both engine rooms, portable extinguishers in cabins and galley - CO detectors and smoke alarms in living areas Condition and maintenance: - Professionally cleaned and detailed; hulls polished and bottom paint renewed in 2025 - Engines and generator serviced at manufacturer intervals; records available - All systems operational and demonstrated regularly; yacht kept on a regular use/maintenance cycle Why this MY 44: - Power-cat efficiency and stability with motor-yacht luxury - Vast salon and flybridge spaces uncommon in this size range - Proven Volvo D6 power for reliability, parts availability, and performance - Turnkey cruising package with comprehensive electronics and safety gear Note: Speeds, fuel burn, and range are approximate and will vary based on load, sea state, and maintenance condition. Survey and sea trial welcomed. Shown by appointment in the United States.",2025-11-15T14:32:12Z
power_catamaran_008.pdf,PCAT-AQ44-2019-7812,Power Catamaran,2,Catamaran,Twin inboard diesel,44.9,21.6,3.8,16500,Fiberglass (GRP),2,Volvo Penta D4-300 (300 hp each),Diesel,0,0,N/A,3,6,2019,769000,United States,Aquila / Sino Eagle Yachts,Aquila 44,Used - Excellent,1050,22,17,430,1500,700,True,True,True,2,0.48,86,88,92,52,False,"The Aquila 44 is a sought-after power catamaran known for fuel efficiency, stability, and generous living spaces. This 2019 three-cabin owner’s version presents in excellent condition, featuring twin Volvo Penta D4-300 diesels (approx. 1,050 hours per engine) offering an easy 17-knot cruise and top speeds around 22 knots. With a wide 21’6” beam, she delivers outstanding comfort at anchor and underway, plus economical operation for extended coastal cruising. The layout includes a full-beam saloon with 360-degree visibility, a forward door to the bow for safe, easy access, and an expansive flybridge with hardtop, wet bar, fridge, and ample seating—ideal for entertaining. The owner’s suite spans the starboard hull with a large island berth, desk/vanity, and a private en-suite. Two guest cabins in the port hull each feature double berths and a shared head, comfortably sleeping six aboard. Climate control is handled by multi-zone air conditioning powered by a Cummins Onan 9 kW generator, and domestic systems include a large galley with full-size refrigeration and abundant storage. Electronics are cruise-ready: dual Garmin multifunction displays at the flybridge helm, radar, GPS/Chartplotter, autopilot, AIS transceiver, VHF, depth/speed, and an aft camera for docking. Mechanical and service highlights include recent engine services, clean heat exchangers, upgraded LED lighting, and a tender davit system for easy launch and retrieval. With 1,500 liters of fuel and 700 liters of fresh water, her typical range is about 430 nautical miles at conservative cruise, with exceptional stability from the twin-hull design. Deck and safety equipment are comprehensive: Maxwell windlass with all-chain rode, bow seating with sunpads, wide walkarounds, and high, secure rails. Safety gear includes a 6-person coastal liferaft (current inspection), EPIRB, throwables, flares, and USCG-compliant PFDs and extinguishers. If you’re seeking a turnkey, owner-operated power cat with modern systems and premier accommodations, this Aquila 44 stands out in the market.",2025-11-15T10:00:00Z
power_catamaran_009.pdf,PCAT-L46-2021-FTL-98341,Sale,2,Catamaran,"Twin Yanmar 8LV-320 inboard diesels (320 hp each), straight shafts",46.0,24.0,3.25,15800,Fiberglass (GRP),2,Inboard diesel,Diesel,0,0,None,3,6,2021,959000,United States,Robertson & Caine (Leopard Catamarans),Leopard 46 Powercat,Used - Excellent,820,24,17,700,1850,780,True,True,True,1,0.522,9,8,9,42,False,"Immaculate 2021 Leopard 46 Powercat in excellent condition, US-spec and located in Fort Lauderdale, Florida. This owner’s 3-cabin, 3-head layout showcases the volume, economy, and offshore capability that have made the 46PC one of the most sought-after power catamarans in her class. With a 24-foot beam for exceptional stability and a shallow 3’3” draft, she is equally at home cruising The Bahamas or running coastal passages.
Power and Performance:
- Twin Yanmar 8LV-320 (320 hp each) inboard diesels, shaft drive, approx. 820 hours
- Top speed ~24 knots; comfortable cruise ~17 knots
- Approximate range 700 NM at economical displacement speeds
- Fuel: 1,850 L (approx. 488 US gal); Water: 780 L (approx. 206 US gal)
- Recent services up to date; clean engine room access
Accommodations and Comfort:
- 3 cabins / 3 en-suite heads (owner’s suite to starboard with walk-in shower)
- Reverse-cycle air conditioning, 3 zones (approx. 48,000 BTU total)
- Bright salon with panoramic windows, large galley with upright fridge/freezer
- Expansive flybridge with hardtop, grill, wet bar, settee, and dining table
- Aft cockpit flows to hydraulic tender platform for easy water access
Equipment and Upgrades:
- Generator: Northern Lights 9 kW (approx. 1,120 hours)
- Electronics: Dual Raymarine Axiom 12 MFDs (flybridge), Quantum radar, AIS 700, EV-400 autopilot, depth/speed/wind, VHF with remote mic
- Audio: Fusion Apollo stereo with JL Audio speakers and zone control
- Power/energy: 1,200 W solar array with Victron MPPT; 600 Ah LiFePO4 house bank; dedicated start batteries; Victron inverter/charger
- Watermaker: Spectra 60 L/h (15.8 gph)
- Ground tackle: 55 lb Rocna anchor, 250’ 10 mm chain, electric windlass with helm and foot controls
- Tender: 11’ Highfield RIB with 20 hp Yamaha on hydraulic platform (800 lb lift)
- Lighting: LED interior/exterior, underwater lights
Safety and Maintenance:
- USCG safety package, EPIRB, offshore flares, throwable devices, and PFDs
- 8-man offshore liferaft (service 2024)
- Fire suppression in engine compartments, smoke/CO detectors
- Bottom paint and prop-speed applied 08/2025; hull and topsides polished 10/2025
- Privately owned, never chartered; records available
Why This Boat:
- Wide, stable platform with excellent fuel economy and liveaboard comfort
- Desirable owner’s layout with premium equipment and low hours
- Turn-key condition for extended cruising, island hopping, or coastal adventures
Contact for full photo set (42 images), maintenance logs, and to schedule a private viewing in Fort Lauderdale.
Broker Notes: Additional photos available upon request
Authorized Signature Contact: +1-897-583-1883",2025-11-15T12:00:00Z
