source_file,vessel_id,target_type,hull_count,hull_type,propulsion,length_overall_ft,beam_ft,draft_ft,displacement_kg,hull_material,engine_count,engine_type,fuel_type,sail_area_sqft,mast_count,rig_type,cabin_count,berth_count,year_built,price_usd,location_country,builder,model,condition,engine_hours,max_speed_knots,cruising_speed_knots,range_nm,fuel_capacity_l,water_capacity_l,generator_onboard,air_conditioning,flybridge,helm_count,beam_to_length_ratio,brand_popularity_score,electronics_score,safety_gear_score,photos_count,has_trailer,listing_description,created_at
catamaran_000.pdf,LAG450F-2016-CHS-1027,Sailing Catamaran,2,Catamaran,Sail + Twin Inboard Diesel,45.83,25.75,4.27,15500,Fiberglass (GRP),2,Inboard,Diesel,1600,1,Fractional Sloop (Marconi),4,8,2016,579000,United States,Lagoon,450 F,Used - Excellent,2150,9.2,7.5,800,1000,700,True,True,True,1,0.56,9.1,9.0,8.8,42,False,"Well-kept 2016 Lagoon 450 F flybridge catamaran in excellent condition, privately owned (never chartered) and set up for comfortable bluewater cruising. The sought-after 4-cabin, 4-head layout offers superb space, storage, and privacy, with a bright, airy saloon and a true flybridge helm providing commanding visibility. This 450 F is equipped for extended off-grid cruising with robust power generation, upgraded electronics, and a thoughtful list of maintenance and refit items completed within the last two years. Highlights and equipment: - Twin Yanmar 4JH57 57 HP inboard diesels (approx. 2,150 hours), serviced on schedule - Onan 11 kW diesel generator (approx. 1,200 hours) with sound shield - 1,200 W solar array with MPPT controllers; 600 Ah lithium house bank (LiFePO4) plus dedicated start batteries - Air conditioning throughout (approx. 48,000 BTU total) with digital thermostats - Standing rigging inspected 2022; new running rigging 2023 (main halyard, jib sheets, traveler lines) - Fully battened mainsail with lazy bag; furling genoa; Code 0 on furler for light-air performance - Electric primary winch at helm; all lines led aft for safe, easy shorthanded sailing - Raymarine Axiom MFDs (flybridge and nav station), Quantum radar, AIS transceiver, autopilot with remote, depth/speed/wind, and forward-looking sonar - Full safety inventory: offshore liferaft (2023 service), EPIRB, jacklines, MOB recovery gear, and comprehensive offshore PFD kit - 10’ RIB tender with 15 HP outboard on stainless davits; electric davit winch - 60 L/hr watermaker (recent membranes, 2024); electric freshwater heads - Ground tackle: 33 kg Rocna primary with 100 m chain, secondary Fortress kedge; windlass with wired and wireless controls - Recent bottom paint (2024), saildrive seals (2023), heat exchangers and raw-water pumps serviced (2024), new house charger/inverter (3000 W, 2023) - Interior: 4 queen cabins each with ensuite; LED lighting; large U-shaped galley up with 3-burner stove/oven, front-opening fridge, top-loading freezer, and abundant storage - Entertainment: Fusion stereo with cockpit and saloon zones, smart TV, Wi-Fi router/booster - Cockpit sunshades, helm bimini, and foredeck lounge cushions; cockpit fridge Performance and range: - Comfortable cruising at 7.0–7.5 knots under power; typical sailing speeds 7–10 knots with double-digit bursts in favorable conditions - Approximate motoring range of 800 nm at conservative RPMs with 1,000 L diesel and proper sea state This Lagoon 450 F presents as a turn-key, well-specified flybridge catamaran ideal for family cruising or seasonal liveaboard. Records available for all major servicing. Located in the United States with clear title. Video walk-through and full photo set available on request.",2025-11-14T15:22:00Z
catamaran_001.pdf,CAT-2025-00183,Sailing Catamaran,2,Catamaran,Sail + twin inboard diesel,45.9,25.8,4.3,16500,Fiberglass (GRP),2,Inboard diesel (Yanmar 4JH57 x2),Diesel,1485,1,Fractional sloop (Bermuda rig),4,8,2016,549000,United States,Lagoon,450 F (Flybridge),Used - Excellent,2150,9.5,7.5,780,1040,700,True,True,True,1,0.56,92,86,90,48,False,"Immaculate 2016 Lagoon 450 F flybridge sailing catamaran, professionally maintained and turnkey for extended cruising. This sought-after model balances comfort, performance, and seaworthiness, featuring a true owner-quality fit and finish with four equal queen cabins, each with an en-suite head. The expansive flybridge provides outstanding visibility and safe sail handling with all lines led aft. Wide side decks, high lifelines, and a rigid foredeck with trampoline add to safety and usability offshore. Powered by twin Yanmar 4JH57 inboard diesels (57 hp each, approximately 2,150 hours per engine), she cruises efficiently at 7.5 knots with a fuel burn optimized for a practical range of about 780 nm under power. Under sail, the generous 1,485 sq ft sail plan with a full-batten mainsail and furling genoa delivers balanced handling and solid passagemaking speeds. The shallow 4.3 ft draft opens up gunkholing and island anchorages that deeper-keeled monohulls can’t access. Equipment highlights: Onan 11.5 kW generator (approx. 1,050 hours), 16,000 + 12,000 BTU reverse-cycle air conditioning, 1,040 L fuel and 700 L water capacity, plus 60 L/h watermaker (new membranes 2023), Solar array 1,000 W with MPPT controllers and upgraded AGM house bank (900 Ah at 12V), Raymarine electronics suite: Axiom 12 MFD at helm, Quantum radar, AIS Class B transceiver, autopilot with gyro, wind/depth/speed tri-data, and VHF with remote mic, Electric windlass with 100 m of 10 mm chain and 33 kg Rocna anchor, second Delta anchor, Safety gear to offshore standard: 8-man valise raft (service 2024), EPIRB, MOB recovery gear, jacklines, Category I flares, extensive PFDs and tethers, Tender package: 11’ RIB on stainless davits with 15 hp outboard, Interior: Teak-style Alpi joinery, U-shaped galley up with 3-burner stove/oven, large fridge/freezer, additional cockpit fridge, and ample dry storage, Entertainment: Fusion stereo with cockpit and salon zones, smart TV, Starlink-ready 12V wiring. Recent service and upgrades (2023–2025): Standing rigging inspection and running rigging refresh (2024), New saildrive seals and engine heat exchanger service (2024), Bottom paint (ablative) and propspeed (May 2025), New cockpit enclosure panels and UV covers (2024), House battery replacement and solar controller firmware update (2025). This Lagoon 450 F shows clean survey history, straightforward systems, and excellent ownership pedigree. She’s equally comfortable as a liveaboard family platform or a bluewater cruiser ready for your next passage. Berth and sea trial available by appointment in South Florida. Broker Notes: Additional photos available upon request",2025-11-14T14:22:00Z
catamaran_002.pdf,LAG450F-2016-FTL-0421,Sail,2,Catamaran (multihull displacement),Sail with twin inboard diesel engines,45.9,25.9,4.3,15500,Fiberglass (GRP),2,Inboard,Diesel,1474,1,Fractional sloop (Bermuda rig),4,8,2016,529000,USA,Lagoon,450 F (Flybridge),Used - Excellent,2150,9.5,7.5,800,1000,700,True,True,True,1,0.56,89,90,92,42,False,"This Lagoon 450 F (Flybridge) presents in excellent condition and is turnkey for extended cruising or premium charter. Built in 2016, she combines Lagoon’s renowned volume and comfort with dependable performance under sail and power. The flybridge helm provides outstanding visibility and easy access to all sail controls, while generous lounging areas forward, aft, and on the bridge make her a true social platform at anchor or underway. Layout and interior: The popular 4-cabin, 4-head layout comfortably sleeps 8 in private cabins, with additional salon berths as needed. The galley-up design features a large countertop, 3-burner stove/oven, front-opening fridge/freezer, and ample storage. Light oak finishes, panoramic salon windows, and opening hatches throughout create a bright, well-ventilated space. Reverse-cycle air conditioning (all cabins and salon) and an 11 kW generator ensure comfort off the grid. Sailing and deck: The fractional sloop rig with a full-batten mainsail and furling genoa delivers balanced, predictable handling. All lines are led aft to the flybridge helm for safe, short-handed sailing. Wide side decks, rigid foredeck with trampoline, electric windlass with oversized anchor and chain, and robust stainless lifelines enhance safety and ease of movement. Under power, twin Yanmar 54 HP diesels offer excellent maneuverability and economical cruising at 7–8 knots. Systems and upgrades: Equipped with a comprehensive Raymarine suite (Axiom MFD, Quantum radar, AIS Class B, Evolution autopilot, wind/depth/speed), VHF with remote handset, and a stereo with cockpit and flybridge speakers. Energy systems include 1000 L fuel capacity, 700 L water capacity, a high-output battery charging system, and solar supplementation to reduce generator runtime. Safety gear is complete for coastal/offshore cruising: 8-person canister liferaft (in-date), EPIRB, jacklines, harness tethers, coastal flare kit, fire extinguishers, and ample USCG-compliant PFDs. Additional features include a watermaker, electric winch for mainsail hoist, cockpit sunshades, full flybridge bimini, synthetic standing rigging inspections up to date, and a tender-ready davit system. Performance and range: With clean hulls and recent engine servicing, expect ~7.5 knots cruising and up to ~9.5 knots under power in flat water. At typical cruising revs with conservative fuel burn, range is approximately 800 NM. The Lagoon 450 F’s proven hull form offers comfortable passages and excellent liveaboard space relative to length. Ownership and maintenance: Professionally maintained with service records available. Engines at approximately 2150 hours, running smoothly and serviced on schedule (oil, filters, impellers). Rig and sails inspected recently; running rigging in good condition. Cosmetically very clean with minor, routine wear consistent with age. This is a well-specified, well-kept 450 F ready for her next adventure.",2025-11-14T10:22:00Z
catamaran_003.pdf,LAG42-2019-FTL-001,Sail,2,Catamaran,Sail with twin inboard diesel engines,41.99,25.2,4.1,12100,Fiberglass (GRP),2,Yanmar 4JH57 57 hp inboard diesel (x2),Diesel,1012,1,Fractional sloop (Bermuda) with self-tacking jib,3,8,2019,519000,United States,"Lagoon Catamarans (CNB, Bordeaux, France)",Lagoon 42,Used - Excellent,1450,9.5,7.5,480,600,600,True,True,False,1,0.6,9.1,8.7,8.5,42,False,"Well-kept 2019 Lagoon 42 in the desirable 3-cabin “Owner’s Version,” located in South Florida and ready to cruise. This model is renowned for her balanced performance, easy handling, and superb livability. The elevated helm provides clear sightlines and keeps the boom low for safer sail handling. With the upgraded twin Yanmar 57 hp engines, Onan 7.5 kW generator, and full air conditioning throughout the interior, this Lagoon 42 is an ideal platform for extended cruising and comfortable liveaboard life.
Key features:
- Layout: 3 cabins, 3 heads; owner’s suite starboard with large island berth, private head and separate shower; two guest cabins port side with shared head and separate shower.
- Sail plan: Square-top mainsail and self-tacking jib for effortless short-handed sailing; electric winch at helm and all lines led aft.
- Electronics: B&G Zeus3 12"" MFD at helm, B&G autopilot, AIS transceiver, 4G radar, depth/speed/wind sensors, VHF with remote handset, and integrated nav data to saloon repeater.
- Power and systems: Onan 7.5 kW diesel generator; 48,000 BTU reverse-cycle air conditioning (3 zones); 600 L freshwater capacity with pressure hot/cold; 600 L diesel capacity; upgraded house battery bank with inverter/charger and shore power.
- Comforts and galley: Spacious saloon with panoramic windows, U-shaped galley up with 3-burner stove, oven, large refrigerator/freezer, and ample storage; cockpit dining for 8, forward lounge, and wide transoms with swim ladders and hot/cold deck shower.
- Safety: Offshore-rated liferaft (8-person), EPIRB, jacklines, harness points, flares, fire extinguishers, manual and electric bilge pumps, and comprehensive throwable PFDs.
- Performance: Cruises efficiently at ~7.5 knots; comfortable motion and excellent bridgedeck clearance; economical operation with single-engine capability for extended range.
- Recent service: Engines and generator serviced within last 100 hours; new antifouling in 2024; running rigging inspected and replaced as needed.
This is a turnkey, privately owned Lagoon 42 showing light, careful use with approximately 1,450 engine hours. Ideal for a couple or family seeking a modern, proven cruising catamaran with strong resale and global support. Priced competitively and shown by appointment.",2025-11-14T09:00:00Z
catamaran_004.pdf,CAT-2019-LEO45-FTL-001,Sail Catamaran,2,Catamaran,Sail + Twin Inboard Diesels,45,24.2,4.9,16100,Fiberglass (GRP),2,Inboard,Diesel,1528,1,Fractional Sloop (Square-top mainsail),4,8,2019,699000,United States,Robertson & Caine,Leopard 45,Used - Excellent,1180,10.2,7.8,520,700,780,True,True,False,1,0.538,9,8.8,9.1,56,False,"2019 Leopard 45 in outstanding condition, privately owned and never chartered, lying Fort Lauderdale, Florida. This award-winning bluewater cruising catamaran is renowned for its robust South African build by Robertson & Caine, fast yet comfortable passagemaking, and an exceptionally livable layout.
Layout and Comfort:
- 4-cabin / 4-head Owner’s version with separate showers; sleeps 8 in cabins plus additional salon berth options
- Bright “galley-up” salon with forward cockpit access, folding dining table, and panoramic windows
- Air conditioning throughout (multiple zones), upgraded sound insulation, and excellent ventilation
- Large aft cockpit with hardtop and integrated lighting; forward cockpit for true indoor/outdoor flow
- Raised starboard helm with full controls and excellent sightlines (not a flybridge), single-wheel setup
Performance and Rig:
- Square-top mainsail and furling genoa (~1528 sq ft total); performance-oriented fractional sloop rig
- Additional light-air sail: furling Code 0
- Kevlar-reinforced bows, high bridgedeck clearance, and fine entries for comfortable, dry passages
Machinery and Systems:
- Twin Yanmar 4JH45 (45 hp each) inboard diesels, approx. 1,180 hours, shaft drives, 3-blade props
- Onan 9 kW diesel generator (sound-shielded)
- 700 L fuel, 780 L fresh water, high-capacity watermaker
- Large lithium house bank with high-output alternators, 1,000–1,200 W solar array with MPPT controllers
- Electric winches at helm, Lewmar hardware, and robust ground tackle (Rocna 25 kg with all-chain rode)
Electronics and Navigation:
- Raymarine Axiom MFDs, Quantum radar, AIS transceiver, Evolution autopilot, wind/speed/depth, VHF with remote handset
- Bow and stern cameras, Wi■Fi gateway, and NMEA 2000 backbone
- Fusion multi-zone audio with cockpit and salon speakers
Safety and Deck:
- Offshore safety package: 8■person life raft (recent service), EPIRB, jacklines, drogue, offshore PFDs, and extensive spares kit
- High stainless lifelines, wide side decks, dedicated life raft locker
- Rigid aluminum-bottom tender on davits with 15 hp outboard (available by separate negotiation)
Performance:
- Comfortable cruising at ~7.5–8 knots; efficient and quiet under power
- Realistic motoring range ~520 nm at conservative burn rates and reserve
- Excellent seakeeping for family cruising or extended liveaboard
Condition and History:
- Meticulous maintenance with records available; topsides waxed and bottom paint current
- Clean survey history; US documented; never hurricane-damaged
This Leopard 45 is turnkey for the season—ideal for the Great Loop segments, Bahamas, or a Caribbean sabbatical. Viewings by appointment in Fort Lauderdale. Surveys welcome.",2025-11-14T00:00:00Z
catamaran_005.pdf,f1a5e6f3-4b9a-4c22-9d56-3b1ad4c0c9a7,Sailing Catamaran,2,Catamaran (Displacement),Sail + Twin Inboard Diesel,42.0,25.3,4.1,12100,Fiberglass (FRP),2,"Inboard (Yanmar 4JH57, 57 HP each)",Diesel,1011,1,Fractional sloop (Bermudan),3,6,2019,579000,United States,Lagoon Catamarans (Groupe Beneteau),Lagoon 42 Owner’s Version,Used - Excellent,1150,9.5,7.5,700,600,600,True,True,False,1,0.6,92,89,93,38,False,"This 2019 Lagoon 42 Owner’s Version is a superbly equipped bluewater sailing catamaran presented in excellent condition. With a generous 25.3 ft beam and a shallow 4.1 ft draft, she delivers remarkable stability, comfort at anchor, and access to shallow cruising grounds. The 3-cabin layout provides a luxurious owner’s suite to starboard with an expansive head and separate shower, plus two guest cabins to port—each with ensuite—sleeping six adults comfortably. Powered by twin Yanmar 4JH57 (57 HP) inboard diesels showing approximately 1,150 hours, she cruises efficiently at 7.5 knots with a practical motoring range around 700 nautical miles on 600 liters of diesel. Under sail, the fractional Bermudan sloop rig and balanced sail plan (approx. 1,011 sq ft main and genoa) deliver confident, predictable handling for short-handed sailing. A raised starboard helm with all lines led aft and excellent visibility makes passagemaking and docking straightforward. Onboard systems are set up for serious cruising comfort: a factory Onan generator supports 3-zone air conditioning, hot water, and domestic loads. The galley-up configuration features ample refrigeration and storage, while the salon enjoys panoramic windows and excellent natural light. Outside, the large cockpit flows seamlessly into the salon, and forward lounges make for inviting social spaces at anchor. Electronics and safety have been thoughtfully specified, including a comprehensive Raymarine navigation suite with MFD at the helm, radar, AIS transceiver, autopilot, and integrated wind/depth instruments. Safety gear includes a serviced offshore liferaft, EPIRB, jacklines, fire suppression, and an up-to-date inventory of PFDs and signaling equipment.",2025-11-14T15:22:00Z
catamaran_006.pdf,CAT-450F-2015-FTL-001,Sailing Catamaran,2,Catamaran (twin-hull),Sail + twin inboard diesel (saildrives),45.9,25.8,4.3,15500,Fiberglass (FRP) sandwich with balsa core,2,"Yanmar 4JH57, 57 hp each, inboard diesel, saildrive",Diesel,1430,1,"Fractional sloop, fully battened mainsail + furling genoa",4,8,2015,469000,United States,Lagoon Catamarans (Groupe Beneteau),Lagoon 450 F (Flybridge),Used - Excellent,1240,12,7.5,850,1000,700,True,True,True,1,0.56,92,88,90,48,False,"Immaculately maintained 2015 Lagoon 450 F in the sought-after 4-cabin/4-head layout, purpose-built for bluewater cruising and comfortable liveaboard life. This flybridge model combines an expansive social deck plan with proven Lagoon performance and stability. Privately owned and never chartered, she shows excellent care with thoughtful cruising upgrades. Layout and Accommodation: 4 queen cabins with en-suite heads, plus convertible salon berth (sleeps up to 10). Light Alpi oak interior with walnut flooring, panoramic salon windows, and opening hatches for natural ventilation. U-shaped galley up with 3-burner gas hob, oven, 130L fridge + separate 110L freezer, double stainless sink. Expansive cockpit with teak table and seating for 8; forward cockpit lounge with cushions. Flybridge helm with full instrumentation, Bimini, and sunpad lounging. Rig and Sails: Fractional sloop with fully battened mainsail (square-top) and furling genoa. Sail area approx. 1,430 sq ft. 2 x Harken electric winches at helm (main and genoa), 1 x manual. Lazy bag and lazy jacks; Dyneema running rigging refreshed 2022. Engines and Systems: Twin Yanmar 4JH57, 57 hp each, saildrives (approx. 1,240 hours per engine). Max 12 knots, comfortable cruise 7.5 knots. Fuel burn approx. 6–8 L/hr total at 7 knots; range approx. 850 nm with 20% reserve. Onan 9 kW diesel generator (~1,050 hours). 48,000 BTU reverse-cycle air conditioning (3 zones). 1000 L diesel capacity, 700 L freshwater capacity. 60 L/h watermaker (Spectra-style) installed 2021. 1200 W solar array on custom arch with MPPT charge controllers. 800 Ah LiFePO4 house bank (installed 2022) with 3 kW inverter/charger. Full shore power (50A), galvanic isolation. Electronics and Navigation: B&G Zeus3 12"" MFD at helm + 9"" repeater at nav station. B&G radar (HALO20+), AIS Class B transceiver, VHF with remote mic. B&G autopilot (NAC-3) with remote. Forward-looking sonar and depth/speed/wind instruments. Fusion stereo with cockpit and flybridge zones. Safety and Deck: 8-person offshore liferaft (serviced 2023). EPIRB, MOB recovery gear, jacklines, harness points. Lewmar electric windlass with 100 m (5/16"") chain and 25 kg Rocna anchor. Secondary anchor and rode. High lifelines and wide side decks for safe passage. Transom dinghy davits with electric assist. AB aluminum RIB tender (10’6”) with 15 hp Yamaha outboard included. Notable Upgrades and Maintenance: New standing rigging inspection and tune 2023. Saildrive seals serviced 2022; heat exchangers serviced 2023. New house lithium bank and solar (2022) dramatically reduce generator run time. Upholstery refreshed 2022; cockpit and foredeck sunshades. Bottom paint (premium ablative) September 2024. Why This Boat: The Lagoon 450 F remains one of the most popular cruising cats for its balance of space, safety, and ease of handling. Flybridge helm gives commanding visibility while keeping the cockpit uncluttered. Efficient systems package: generator, AC, lithium, solar, watermaker—ready for extended cruising. Ownership and Documentation: US documented, located in South Florida for convenient viewing. Complete maintenance logbooks, manuals, and spares onboard. This 450 F presents as a turnkey, well-specified sailing catamaran, ideal for a couple or family planning coastal or bluewater adventures. Contact to schedule a showing and review full photo set (48 images) and recent survey. Broker Notes: Additional photos available upon request. Authorized Signature Contact: +1-742-694-8829.",2025-11-14T09:32:00Z
catamaran_007.pdf,LEO45-2019-RAC-000873,Sail,2,Catamaran,Sail + Twin Inboard Diesel,45,24.2,4.9,14500,Fiberglass (GRP),2,Inboard,Diesel,1519,1,Fractional sloop,4,8,2019,695000,United States,Robertson & Caine,Leopard 45,Used - Excellent,1250,10.5,7.5,900,700,780,True,True,False,1,0.54,91,88,92,56,False,"Professionally maintained 2019 Leopard 45 by Robertson & Caine, presented in excellent condition and equipped for comfortable blue-water cruising and liveaboard life. This 4-cabin, 4-head layout features bright, ergonomically designed interiors, a spacious saloon with panoramic windows, and the signature Leopard forward cockpit accessed directly from the saloon for superb ventilation and social flow. Power is provided by twin Yanmar 4JH45 45 HP inboard diesels (approx. 1,250 hours each) driving saildrives with three-blade fixed props. Under power, she cruises economically at 7.5 knots and reaches about 10.5 knots max in flat conditions. With a generous 1,519 sq ft upwind sail plan (full-batten mainsail and self-tacking jib), she is easily handled by a couple. The raised helm offers excellent visibility and safe communication with the cockpit, while keeping weight centered for performance. Systems and comfort: 9 kW Northern Lights generator, 3-zone reverse-cycle air conditioning, 700 L fuel, 780 L freshwater, 60 L/h watermaker (optional in many), 12V/110V systems, and abundant lithium-ready charging via high-output alternators and solar-prepped wiring. Galley-up includes a large refrigerator/freezer, propane oven/cooktop, and ample storage. The four queen cabins each feature excellent headroom and en-suite heads with separate showers. Electronics: Raymarine Axiom 12 MFD at helm, Raymarine Quantum radar, AIS700 transceiver, Evolution autopilot with p70 control head, i70s instruments (wind/depth/speed), and VHF with remote handset. Safety inventory includes an 8-person offshore liferaft (service 2023), 406 MHz EPIRB, offshore flare kit (current), jacklines, harness tethers, and Type I PFDs. Deck and rig: anodized aluminum mast and boom, self-tacking jib on furler, electric primary winch, lazy bag with lazy jacks, wide side decks, robust bow rollers with dual anchors (primary 25 kg Rocna with 80 m chain), and a hydraulic dinghy davit system. Cockpit and forward lounge feature upgraded cushions and a teak-look synthetic sole for low maintenance. This Leopard 45 strikes a superb balance of performance, comfort, and reliability—ideal for family cruising, charter income, or extended passages. Lying on the U.S. East Coast with clear title and complete service records. Viewings by appointment; additional photos and survey reports available upon request. Broker Notes: Additional photos available upon request",2025-11-14T12:35:00Z
catamaran_008.pdf,CAT-2025-114-450F,Sailing Catamaran,2,Catamaran,Sail + Twin Inboard Diesel,45.8,25.9,4.3,15500,Fiberglass (GRP),2,Yanmar 4JH57 Inboard Diesel (57 hp each),Diesel,1432,1,Fractional Sloop,4,8,2017,589000,United States,Lagoon Catamarans (CNB/Bénéteau Group),Lagoon 450 F,Used - Excellent,1260,9.5,7.5,620,1040,700,True,True,True,1,0.57,9.4,8.8,9.1,42,False,"This 2017 Lagoon 450 F is a highly sought-after cruising catamaran presenting in excellent condition with the popular 4-cabin, 4-head layout. Designed for bluewater comfort and performance, she combines a wide, stable platform with a true flybridge helm offering commanding visibility and easy sail handling. Powered by twin Yanmar 4JH57 (57 hp each) engines with approximately 1,260 hours, she cruises efficiently at 7.5 knots and sips fuel, delivering an approximate 620 nm range under power. The sail plan totals roughly 1,432 sq ft (fully battened mainsail and furling genoa), providing balanced performance in a wide range of conditions. A robust equipment list includes an Onan 11.5 kW generator, 48,000 BTU air conditioning throughout, electric winch at helm, upgraded ground tackle with 80 m of chain, and a full Raymarine electronics suite (Axiom chartplotter, Quantum radar, AIS, autopilot, wind/depth/speed). Safety gear is complete with offshore life raft, EPIRB, jac",2025-11-14T10:00:00Z
catamaran_009.pdf,LAG42-2018-00683,Sailing Catamaran,2,Catamaran (displacement),Sail + twin inboard diesels,42.0,25.3,4.1,12100,Fiberglass (GRP),2,"Twin Yanmar 4JH45, 45 hp each, inboard (shaft drive)",Diesel,1346,1,"Fractional sloop (Marconi), full-batten mainsail + furling genoa",3,8,2018,489000,United States,"Lagoon Catamarans (CNB, Groupe Beneteau)",Lagoon 42,Used - Excellent,1180,9.5,7.5,525,600,600,True,True,False,1,0.6,9.1,8.7,8.8,52,False,"Premium owner’s-version 2018 Lagoon 42 in excellent condition, professionally maintained and ready to cruise. This popular 42-foot sailing catamaran balances comfort, performance, and safety with a wide 25.3 ft beam and shallow 4.1 ft draft—ideal for coastal hopping and Bahamas/Caribbean cruising. Layout and accommodations: - Owner’s 3-cabin / 3-head layout: spacious master suite to starboard with large island berth, separate shower, and generous storage; two guest cabins portside, each with en-suite heads. - Salon with 360° visibility, convertible dinette, and galley-up configuration featuring a large refrigerator/freezer, stove/oven, and ample counter space. - Large cockpit with dining table and lounging areas, excellent flow from salon to aft deck for entertaining. Sailing and performance: - Fractional sloop rig with full-batten Dacron mainsail and furling genoa (total approx. 1,346 sq ft). - Balanced helm from the elevated starboard steering station; all lines led aft for short-handed sailing. - Comfortable 7.5-knot cruise under power; approx. 9.5 knots max. Typical under-power range ~525 nm with 600 L fuel. Propulsion and systems: - Twin Yanmar 4JH45 (45 hp each), approx. 1,180 hours per engine, shaft drive with folding props for efficient sailing. - Onan 7.5 kW diesel generator (sound-shielded) for off-grid comfort. - 48,000 BTU air conditioning throughout cabins and salon. - 600 L fresh water capacity; hot water via engine heat exchanger and AC heater when on shore/gen power. Electronics and navigation: - Raymarine Axiom MFD at helm, Quantum radar, AIS transceiver, Evolution autopilot, depth/speed/wind instruments, and VHF with DSC. - LED navigation and interior lighting; USB/12V outlets in cabins and salon. - Shore power with smart charger and robust house/start battery banks. Safety and deck gear: - Offshore-rated 6-person life raft (current inspection), EPIRB, jacklines, harness points, and modern PFDs. - Fire suppression in engine compartments, portable extinguishers to code, smoke/CO detectors. - Electric windlass with 60 m of chain and 20 kg primary anchor; secondary anchor and rode included. - Wide side decks, solid foredeck with trampoline sections forward for comfort and safety at anchor. Why this Lagoon 42: - Sought-after owner’s layout with the right options for extended cruising or comfortable liveaboard. - Brand with strong global support network and excellent resale value. - Efficient, proven hull design with a stable platform and outstanding living space for a 42-footer. Currently US-based and shown by appointment; detailed service records available. A turnkey, cruise-ready Lagoon 42 that checks the boxes for comfort, capability, and value. Broker Notes: Additional photos available upon request",2025-11-14T14:00:00Z
