source_file,vessel_id,target_type,hull_count,hull_type,propulsion,length_overall_ft,beam_ft,draft_ft,displacement_kg,hull_material,engine_count,engine_type,fuel_type,sail_area_sqft,mast_count,rig_type,cabin_count,berth_count,year_built,price_usd,location_country,builder,model,condition,engine_hours,max_speed_knots,cruising_speed_knots,range_nm,fuel_capacity_l,water_capacity_l,generator_onboard,air_conditioning,flybridge,helm_count,beam_to_length_ratio,brand_popularity_score,electronics_score,safety_gear_score,photos_count,has_trailer,listing_description,created_at
monohull_000.pdf,SO409-2014-AN-1127,Sailboat,1,"Monohull - Fin keel, spade rudder","Sail + Inboard Diesel (Yanmar 40 hp, saildrive)",40.49,13.09,6.89,7350,Fiberglass (GRP),1,Yanmar 3JH5E 40 hp inboard diesel (saildrive),Diesel,902,1,Bermuda sloop (fractional),2,6,2014,189000,United States,Jeanneau,Sun Odyssey 409,Used - Excellent,1150,8.2,7.0,380,200,530,True,True,False,2,0.323,86,88,92,42,False,"2014 Jeanneau Sun Odyssey 409 in excellent condition, professionally maintained and smartly equipped for comfortable cruising. This popular Philippe Briand design delivers a balanced, easily driven hull with a responsive twin-wheel cockpit and a deep fin keel for confident upwind performance. At 40.49 ft LOA and a generous 13.09 ft beam, she offers a spacious, ergonomic deck plan with all lines led aft for safe, short-handed sailing. The fractional sloop rig carries 902 sq ft of sail, featuring an in-mast furling mainsail and furling genoa for effortless control. Auxiliary power is a reliable Yanmar 3JH5E 40 hp diesel on a saildrive, providing a 7.0-knot cruise and an approx. 380 nm range on the 200 L fuel tank. Twin wheels, a fold-down swim platform, electric windlass, and wide side decks make days on the water easy and enjoyable. Below, the bright two-cabin, one-head layout sleeps six, with a forward owner’s cabin, a large aft cabin, and a convertible salon settee. The L-shaped galley includes a gimbaled stove/oven, top/front-load refrigeration, and ample storage. Comfort systems include reverse-cycle air conditioning and a Fischer Panda 4 kW generator for true off-grid capability. Electronics are cruise-ready: Raymarine chartplotter, autopilot, AIS transceiver, wind/depth/speed instrumentation, and radar. Safety is well covered with an EPIRB, jacklines, offshore lifejackets with tethers, liferaft, and an up-to-date flare kit. This Sun Odyssey 409 is a turnkey coastal cruiser with the pedigree, performance, and equipment to go now.",2025-11-14T14:07:00Z
monohull_001.pdf,CT445-2014-00873,Sailboat,1,Monohull,Sail + Inboard Diesel,44.42,13.67,6.83,10433,Fiberglass (GRP),1,Yanmar 4JH5E 54 hp Inboard Diesel,Diesel,1020,1,Sloop (Furling Main & 135% Genoa),2,6,2014,279000,United States,Catalina Yachts,Catalina 445,Used - Excellent,1145,8.5,7.2,520,250,680,True,True,False,2,0.31,86,88,90,36,False,"This 2014 Catalina 445 is a well-equipped, two-cabin/Two-head bluewater cruiser that combines American build quality with comfortable cruising performance. With a versatile sail plan, dual helms, and a powerful Yanmar 54 hp diesel, she is set up for confident coastal or offshore voyaging. The spacious cockpit features twin wheels with excellent visibility, wide coamings, an electric primary winch to simplify sail handling, and a walk-through transom for easy boarding. Interior - Two private cabins (fore and aft) plus convertible salon berth; sleeps 6 comfortably - Two heads with separate showers; electric flush in forward head - Satin-finished teak joinery, abundant natural light, and generous storage throughout - Reverse-cycle air conditioning and heat (two zones) - U-shaped galley with front/top-load fridge/freezer, gimbaled 3-burner stove/oven, microwave, and deep double sinks Rig & Sails - Anodized aluminum mast with split backstay; single-spreader rig - Furling mainsail and 135% furling genoa (both serviced 2024; main replaced 2021) - Rigid boom vang; adjustable traveler; inboard genoa tracks for proper sheeting angles - Sail area approx. 1,020 sq ft for balanced power and easy handling Deck & Hardware - Electric primary winch (starboard) for sheets/halyards; all lines led aft - Lewmar self-tailing winches; solid stainless handrails and lifelines - Wide side decks, molded non-skid, and large anchor locker with electric windlass - Cockpit table with folding leaves and integrated storage Machinery & Systems - Yanmar 4JH5E 54 hp inboard diesel (approx. 1,145 hours), professionally serviced annually - Northern Lights 5 kW diesel generator (approx. 420 hours), sound-shielded - 250 L fuel and 680 L water tankage; hot water via engine/shore power - Cruising 7.2 knots; ~520 nm motoring range at economical RPM - 12V DC and 120V AC systems with inverter/charger; upgraded LED lighting Electronics & Navigation - 12-inch multifunction chartplotter at helm with GPS - Broadband radar, AIS transceiver, and integrated autopilot - Depth/speed/wind instruments, VHF with cockpit remote mic - Stereo with salon and cockpit speakers Safety & Ground Tackle - Electric windlass with 55 lb anchor and all-chain rode - Jacklines, harness points, EPIRB, and offshore-rated life raft (service current in 2024) - Manual and electric bilge pumps; complete offshore flare kit; fire extinguishers - Cockpit and companionway weatherboards, high-visibility deck lighting Recent Service/Upgrades (2023–2025) - Bottom stripped and epoxy barrier coated, new antifoul (2024) - Engine and generator full services including impellers and heat exchangers (2024/2025) - Standing rigging inspection (2023), running rigging refreshed (2024) - House batteries replaced with high-capacity AGM bank (2023) - Sails cleaned/inspected (2024), new UV covers on genoa (2024) This Catalina 445 presents in excellent condition and is ready for immediate cruising. Her combination of a forgiving hull form, practical systems layout, and comfortable accommodations makes her an ideal choice for couples or families stepping up to a capable, modern cruiser.",2025-11-14T12:00:00Z
monohull_002.pdf,8d2f5f5f-23b7-4e1a-9a3a-9b4b1e0f2b7c,Monohull Sailboat - Cruiser,1,Monohull,Sail + Inboard Diesel,40.5,13.9,7.2,8777,Fiberglass (GRP),1,Inboard Diesel – Yanmar 4JH45 (45 hp),Diesel,903,1,Bermuda sloop (fractional),2,6,2017,235000,United States,Beneteau,Oceanis 41.1,Used – Excellent,980,8.5,7.0,300,200,330,True,True,False,2,0.34,92,86,88,28,False,"This 2017 Beneteau Oceanis 41.1 is a clean, well-specified monohull cruiser that blends performance, comfort, and ease of handling. With a deep fin keel (7.2 ft), generous beam carried well aft, and twin wheels, she delivers a stable, responsive ride and excellent cockpit ergonomics. The wide drop-down transom forms a large swim platform for easy water access and effortless boarding from the dinghy. Below decks, the 2-cabin, 1-head layout offers a bright, airy salon with generous headroom, U-shaped dinette, and linear galley complete with a two-burner stove/oven, microwave, top/front-loading refrigeration, and ample storage. Six comfortable berths accommodate family and guests. Reverse-cycle air conditioning keeps the interior climate controlled at the dock and at anchor when running the 5 kW diesel generator. Rigged as a fractional Bermuda sloop, the 903 sq ft sail plan with furling genoa and a fully battened mainsail provides balanced power under sail. Under power, the reliable Yanmar 4JH45 (45 hp) shows 980 hours and pushes the boat at a comfortable 7 knots cruising, with a top speed around 8.5 knots. With 200 liters of fuel and typical consumption for this model, expect an approximate motoring range of 300 nautical miles in moderate conditions. Electronics include a color MFD at helm, radar, AIS transceiver, autopilot, depth/speed/wind instruments, and VHF with DSC. Shore power with smart charger, house/instrument battery banks, hot water heater, and LED lighting throughout. Safety equipment is complete and current for coastal cruising: offshore PFDs, jacklines, harness points, throwable devices, flares, fire extinguishers, CO/smoke detectors, and an emergency tiller. Highlights: - Proven Beneteau hull with forgiving handling and big-boat feel in a 41-foot package - Twin helms, wide cockpit, and fold-down transom swim platform - Bright, modern interior with 2 cabins, 6 berths, and large storage volumes - Air conditioning and 5 kW generator for true cruising comfort - Comprehensive electronics suite with radar, AIS, and autopilot - Well-maintained Yanmar 45 hp diesel with moderate hours - Shoal and deep keel variants exist; this boat is the deep keel for better upwind performance If you’re seeking a turnkey coastal cruiser that’s easy to sail shorthanded yet spacious for family cruising, this Oceanis 41.1 should be at the top of your list. Detailed service records, recent bottom paint, and a thorough pre-listing systems check are available to qualified buyers.",2025-11-14T09:30:00Z
monohull_003.pdf,BN-OC41-2014-001274,Sailboat,1,Monohull - displacement,Sail + inboard diesel,41.8,13.9,6.9,8700,Fiberglass (GRP),1,"Inboard diesel (Yanmar 3JH5E, 40 hp)",Diesel,905,1,Fractional sloop,2,6,2014,189000,United States,Beneteau,Oceanis 41,Used - Excellent,1180,8.0,6.5,280,200,530,True,True,False,2,0.333,9.1,8.6,8.8,38,False,"This 2014 Beneteau Oceanis 41 is a well-kept, two-cabin cruising sailboat that blends modern performance with comfort and simplicity. She features twin helms, a spacious cockpit with a folding transom/swim platform, and a bright, open interior designed by Nauta. Ideal for coastal cruising and week-long getaways, she’s turnkey with recent service and thoughtful upgrades. Accommodations and layout: - Two-cabin, one-head layout with separate stall shower; sleeps up to 6 (forward island queen, aft double, convertible salon) - Satin-finish light oak joinery, upgraded upholstery, abundant natural light via hull ports and overhead hatches - L-shaped galley to starboard with two-burner stove/oven, front/top-loading refrigeration, deep double sink, and solid-surface counters - Nav station to port with full-size chart table and dedicated electrical panel - Reverse-cycle air conditioning (16,000 BTU) ducted to cabins and salon Deck and rig: - Fractional sloop with in-mast furling mainsail and 105% furling genoa for easy short-handed sailing - Rigid boom vang, adjustable genoa cars, and German-style mainsheet for efficient trimming - Twin wheels with pedestal compasses and engine controls; wide side decks and sturdy lifelines - Electric windlass with 35 lb Rocna anchor, 200 ft chain + 150 ft rode - Standing rigging inspected 2023; most running rigging renewed 2022 Power and systems: - Yanmar 3JH5E 40 hp inboard diesel (approx. 1,180 hours) with saildrive; cruise ~6.5 kts, top ~8 kts - Fischer Panda 4 kW diesel generator (approx. 420 hours) powers AC and outlets away from the dock - 200 L diesel tank; 530 L fresh water; hot water via engine heat exchanger and shore/gen power - House battery bank upgraded to AGM in 2023; dedicated start battery; smart charger and 1,000 W inverter Electronics and navigation: - Raymarine Axiom 9 MFD at helm with Lighthouse charts - Raymarine Quantum radar, i70 wind/depth/speed instruments, p70 autopilot - AIS transceiver (Class B), Raymarine VHF with cockpit remote mic - Stereo with cockpit speakers and Bluetooth Safety and extras: - USCG-compliant safety kit: offshore flares (2024), Type I/II PFDs, throwables, jacklines, and harness points - EPIRB (battery due 2027), manual and electric bilge pumps, fire extinguishers serviced 2024 - Dodger and bimini with connector, cockpit cushions, hot/cold transom shower - Bottom paint and saildrive service completed spring 2024; heat exchanger serviced 2023; hull waxed 2025 Notes: - Kept in brackish water on the U.S. East Coast with regular professional maintenance - No known grounding or storm damage; records available for serious buyers - Reason for sale: Owner moving up in size This Oceanis 41 delivers balanced sailing manners, roomy accommodations, and the right equipment for comfortable cruising. Clean surveys welcome; shown by appointment in the Annapolis area.",2025-11-14T15:30:00Z
monohull_004.pdf,BN-OC46-2008-1137,Sailboat - Monohull Cruiser,1,Monohull (fin keel),Sail with auxiliary inboard diesel,46.0,14.0,6.9,10565,Fiberglass (GRP),1,"Inboard (Yanmar 4JH4-TE, 75 hp)",Diesel,1055,1,Fractional sloop,3,6,2008,179000,United States,Beneteau,Oceanis 46,Used - Very Good,1860,8.8,7.2,350,200,530,True,True,False,2,0.3,89,86,88,42,False,"Well-kept 2008 Beneteau Oceanis 46, a proven bluewater-capable family cruiser with the preferred two-wheel cockpit, deep fin keel, and a reliable Yanmar 75 hp inboard diesel. This Oceanis 46 balances performance and comfort, delivering easy sail handling with a furling genoa, fully battened mainsail with lazy jacks and stack pack, and robust deck hardware. With a generous 1,055 sq ft sail plan and a 6.9 ft draft, she tracks confidently and maintains solid passage speeds while remaining manageable for a cruising couple. The 3-cabin/2-head layout provides excellent livability: an airy saloon with U-shaped dinette, a starboard-side galley with solid-surface counters, front-opening fridge plus top-loading freezer, and abundant storage. The forward owner’s stateroom features an island berth and en-suite head; two aft cabins offer full double berths. Air conditioning keeps the interior comfortable at the dock or on the hook, supported by an onboard 6 kW generator. Large opening hatches and ports provide excellent light and ventilation. Electronics include a color chartplotter at the helm, integrated autopilot, AIS transceiver, radar, wind/depth/speed instruments, and VHF with cockpit remote—rated here with an electronics score of 86 for completeness and condition. Safety equipment is thoughtfully specified with a recent offshore-rated liferaft service, EPIRB, jacklines, harness points, and a robust ground tackle setup (electric windlass, 20 kg Rocna-style anchor with ample chain), reflected in an 88 safety score. Under power, the Yanmar 75 hp moves the boat efficiently at a 7.2-knot cruise with a top around 8.8 knots. Fuel capacity of 200 L and conservative consumption give an approximate 350 nm motoring range. Water capacity of 530 L supports extended cruising. The cockpit features dual helms, primary and secondary winches within easy reach, and a walkthrough transom with swim platform and hot/cold shower. Standing and running rigging present well; canvas includes a bimini and dodger for protection. The non-skid decks are clean, and the hull and topsides show a deep shine. Highlights: - Beneteau Oceanis 46, 2008 model year, fiberglass monohull with deep fin keel - Yanmar 4JH4-TE 75 hp diesel (approx. 1,860 hours), shaft drive, 3-blade prop - 3 cabins / 2 heads; air conditioning throughout - 6 kW generator onboard for full self-sufficiency at anchor - Modern nav suite: chartplotter, radar, AIS, autopilot, wind/depth/speed, VHF with remote mic - Furling genoa, fully battened mainsail with lazy jacks/stack pack; solid vang and traveler - Electric windlass with all-chain rode and modern scoop anchor - Twin wheel cockpit, teak accents, swim platform, and ample cockpit storage - Clean maintenance history; turnkey coastal or near-offshore cruiser This Oceanis 46 represents a compelling value for sailors seeking a comfortable, performance-oriented cruiser from a top-tier builder. Priced competitively at $179,000 and ready for inspections. Broker Notes: Additional photos available upon request",2025-11-14T10:21:00Z
monohull_005.pdf,BN-OC45-2015-1124,Sailboat (Cruiser),1,"Monohull (fin keel, spade rudder)",Sail with inboard diesel auxiliary,45.9,14.76,7.4,10500,Fiberglass (FRP),1,"Inboard diesel (Yanmar 4JH5E, 54 hp)",Diesel,1040,1,Bermudan sloop (fractional),3,8,2015,259000,United States,Bénéteau,Oceanis 45,Used - Excellent,1180,8.6,7.2,260,200,570,True,True,False,2,0.32,9,8,8,42,False,"Immaculate 2015 Bénéteau Oceanis 45, a proven bluewater-capable family cruiser that blends performance, comfort, and modern design. This two-wheel helm Oceanis 45 features the desirable 3-cabin/2-head layout with a bright, airy saloon, generous galley, and an expansive cockpit with drop-down swim platform—perfect for cruising the Chesapeake or island hopping in the Bahamas. Powered by a reliable Yanmar 4JH5E 54 hp diesel (1,180 hours), she cruises efficiently at 7–7.5 knots and approaches hull speed when conditions allow. A deep fin keel (approx. 7.4 ft draft) and balanced spade rudder provide confident handling and good upwind performance. The mainsail and furling genoa deliver approximately 1,040 sq ft of sail area, and the fractional sloop rig keeps sail handling straightforward for a couple or short-handed crew. The interior showcases Bénéteau’s Alpi woodwork with ample natural light from hull and deck windows. The owner’s forward cabin includes an island berth and en-suite head with separate shower. Two generous aft cabins share a second head. Convertible saloon seating allows sleeping for up to eight. Climate control is excellent thanks to shore-power air conditioning and a 5 kW diesel generator for comfort at anchor. Large tankage—570 L fresh water and 200 L fuel—supports extended cruising. Electronics and equipment are cruise-ready: twin pedestal helms each with B&G multifunction displays, radar, AIS transceiver, autopilot, wind/speed/depth sensors, and a below-deck chart table station. Safety kit includes offshore lifejackets with tethers, jacklines, EPIRB, drogue, and a 6-person coastal liferaft (service current). Ground tackle features a 25 kg Rocna with 200 ft chain, plus secondary anchor—ideal for varied bottom conditions. Recent service highlights include: engine service and impeller (spring 2025), bottom paint and zincs (2025), standing rig inspection (2024), new house batteries (AGM, 2024), and running rigging refresh (select lines, 2024). Sails are in very good condition; mainsail with lazy bag and furling genoa; asymmetrical cruising chute included. Notable features: - Twin helms with wide, safe cockpit and folding table - Electric windlass with cockpit and bow controls - Drop-down transom/swim platform with swim ladder and hot/cold cockpit shower - 5 kW diesel generator, shore-power air conditioning, and water heater - Large, functional L-shaped galley with front/top-load refrigeration and 2-burner stove/oven - B&G electronics suite: dual chartplotters, radar, AIS, autopilot, wind/depth/speed - Safety package to coastal/offshore standard, EPIRB included - Dinghy chocks on platform and outboard bracket (dinghy/outboard negotiable) With its balance of performance and comfort, this Oceanis 45 is an ideal turnkey cruiser for a family or couple looking to step into a well-equipped, well-cared-for yacht in excellent condition. Priced competitively at $259,000 USD for a prompt sale. Viewings by appointment.",2025-11-14T15:32:00Z
monohull_006.pdf,OC45-2016-000872,Sailboat,1,Monohull,Sail with inboard diesel auxiliary,45.8,14.75,7.4,10550,Fiberglass (GRP),1,"Inboard diesel (Yanmar 4JH5E, 54 hp, saildrive)",Diesel,1020,1,"Fractional sloop, furling mainsail and genoa",3,6,2016,279000,United States,Beneteau,Oceanis 45,Used - Excellent,1180,9.5,7.5,420,200,570,True,True,False,2,0.322,89,87,90,38,False,"Well cared-for and thoughtfully upgraded 2016 Beneteau Oceanis 45, 3-cabin/2-head owner’s layout. A proven bluewater-capable family cruiser that balances performance, comfort, and ease of handling. The powerful yet manageable fractional sloop rig features an in-mast furling mainsail and furling genoa (recent service 2024) delivering efficient sailing across a wide wind range. Twin helms provide excellent visibility and easy cockpit flow, with a wide drop-down swim platform for effortless water access. The reliable Yanmar 4JH5E 54 hp diesel (approx. 1180 hours) with saildrive pushes the boat at a comfortable 7–8 knots; expect roughly 420 nm motoring range on the 200 L fuel tank. Onan 5 kW diesel generator (approx. 620 hours) supports air conditioning and house systems off-grid. Electrical upgrades include a high-output alternator, smart charging, and a robust 12V/110V distribution with inverter. Electronics suite is cruise-ready: dual B&G Zeus chartplotters at each helm, broadband radar, AIS transceiver, B&G autopilot with remote, wind/depth/speed sensors, and VHF with DSC and cockpit RAM mic. Ground tackle includes a 25 kg Rocna on a powered windlass with ample chain. Additional equipment: bow thruster, electric primary winches, cockpit enclosure, sunshades, and custom cockpit cushions. Interior is light and airy with Alpi wood joinery, U-shaped galley (3-burner stove/oven, front/top-load refrigeration, separate freezer), generous storage, and a spacious owner’s stateroom forward with island berth and ensuite. Two aft cabins share a large second head. Hot water via engine/shore/gen set. Safety inventory is comprehensive: offshore PFDs/tethers, jacklines, EPIRB, 6-person canister liferaft (service due 2027), flares, and comprehensive spares. Recent maintenance includes bottom paint and zincs (2024), engine and saildrive service (2024), and standing/running rig checks (2024). Turn-key and ready for the season. Broker Notes: Additional photos available upon request",2025-11-14T10:22:00Z
monohull_007.pdf,BN-OC45-2016-AN-00123,Sailboat (Monohull),1,Monohull,Sail + Inboard Diesel,45.5,14.76,7.4,10500,Fiberglass (GRP),1,"Inboard Diesel (Yanmar 4JH5E, 54 hp)",Diesel,1080,1,Fractional Sloop,3,6,2016,279000,United States,Beneteau,Oceanis 45,Used - Excellent,1180,8.5,7,230,200,530,True,True,False,2,0.32,88,86,90,42,False,"2016 Beneteau Oceanis 45 in outstanding condition, thoughtfully outfitted for comfortable cruising and easy shorthanded sailing. This popular 3-cabin/2-head layout features a bright, airy salon with generous headroom, twin aft cabins, and a spacious owner’s cabin forward. Twin helms, wide side decks, and a solid fractional sloop rig deliver confidence and performance, while the cockpit’s fold-down transom becomes a large swim platform for effortless water access.
 Highlights
 - Yanmar 4JH5E 54 hp diesel (approx. 1,180 hrs), shaft drive, 3-blade fixed prop; cruise ~7 knots
 - Fischer Panda 6.4 kW generator (approx. 420 hrs)
 - 16,000 BTU reverse-cycle air conditioning
 - In-mast furling mainsail (2022) and 106% furling genoa (2022) in premium Dacron; Code 0 on furler (2023)
 - Standing rigging inspected 2023; running rigging replaced 2022–2024 as needed
 - Raymarine electronics suite: Axiom 12 MFD at helm, Quantum radar, i70s wind/depth/speed, EV-200 autopilot with p70s control head, AIS transceiver, VHF with cockpit remote
 - Electrical: 60A alternator, 40A shore charger, 400W solar on arch with MPPT controller, 4 x 100Ah AGM house bank (2023), dedicated start battery (2023)
 - Ground tackle: 25 kg Rocna anchor, 200 ft 5/16"" chain + 150 ft rode, electric windlass with remote
 - Safety: 6-person offshore liferaft (serviced 2024), EPIRB (battery 2024), jacklines, offshore PFDs with tethers, MOB recovery gear, flares (2024), fire extinguishers, CO/smoke detectors
 - Comfort and galley: 2-burner LPG stove/oven, top/front-load refrigeration, separate top-load freezer, hot water heater, full canvas package (bimini, dodger, connector new 2023), cockpit cushions, transom grill mount
 - Deck and handling: German-style mainsheet to coachroof, electric cabin-top winch, two primary self-tailing winches, Selden spar, rigid boom vang, adjustable genoa cars, bow thruster
 - Recent care: Bottom soda-blasted and barrier-coated 2023; antifouled 2024. Engine serviced spring 2025 (oil, filters, impeller). Hull/wax detail 2025.
 Performance and Range
 - Efficient hull with deep keel (7.4 ft) balances upwind power and stability; typical cruising 6.5–7.2 knots under power, 7–8+ knots under sail depending on conditions.
 - Fuel capacity 200 L supports an approximate motoring range of 230 nm at conservative cruise and typical consumption.
 - Water capacity 530 L supports extended weekends to week-long cruises comfortably.
 Why This Oceanis 45
 - Sought-after brand and model with strong resale value
 - Thoughtful upgrades (generator, solar, electronics) for independent cruising
 - Clean mechanicals, low hours for age, and current service records
 - Turn-key and ready for the season; located in the United States with clear title",2025-11-14T10:26:00Z
monohull_008.pdf,JEN-42i-2010-US-001,Monohull Sailboat,1,Monohull,Sail with Inboard Diesel (Shaft Drive),42.2,13.55,7,8300,Fiberglass (GRP),1,Yanmar 4JH5E 54 hp Inboard Diesel,Diesel,989,1,Fractional Sloop,3,7,2010,179000,United States,Jeanneau (France),Sun Odyssey 42i,Used - Excellent,1480,8.8,7.2,280,130,355,True,True,False,2,0.32,89,85,90,38,False,"This 2010 Jeanneau Sun Odyssey 42i is a well-kept, performance-oriented cruising monohull designed by Philippe Briand. The 3-cabin/2-head layout provides excellent volume, with a bright saloon, 6’6” headroom, and an L-shaped galley ideal for passagemaking or extended coastal cruising. Twin helms open up the cockpit for easy movement and convenient stern access for swimming and dinghy boarding. Power is a reliable Yanmar 4JH5E 54 hp diesel (approx. 1,480 hours) with shaft drive, serviced annually; recent service includes oil/filters (2024), impeller (2024), heat exchanger service (2023), and a dripless shaft seal (2022). Under power she cruises efficiently around 7.2 knots with an approximate range of 280 nm on the 130 L fuel tank. Under sail, the fractional sloop rig is balanced and responsive. Sail inventory includes a fully-battened mainsail (2020) with lazy jacks and stack pack, and a 135% furling genoa (2021). Standing rigging inspected in 2022; most running rigging updated 2023. Electronics are cruising-ready: Raymarine Axiom 9 MFD with GPS/Chartplotter, Quantum radar, i70 wind/depth/speed, EV-200 autopilot with below-decks drive, AIS 700 Class B transceiver, and VHF with DSC and remote cockpit mic. 12V systems include 400 W solar with MPPT controller, a 2000 W inverter/charger, and house bank of 4 x 100 Ah AGM batteries (2022). Comfort systems include reverse-cycle air conditioning (~16,000 BTU) and a Fischer Panda 4 kW genset for off-grid cooling and charging. LED cabin and navigation lighting, hot water via engine/shore, and pressurized water from twin tanks (355 L total) round out the live-aboard amenities. Deck and ground tackle are cruise-ready: electric windlass with a 25 kg Rocna primary anchor and 200 ft of 5/16"" chain plus nylon rode. Safety gear is comprehensive for coastal cruising: 6-person valise liferaft (service current as of 2023), ACR EPIRB, jacklines, harness points, offshore PFDs, flares, dual electric bilge pumps plus manual, and a full set of fire extinguishers. Overall, this 42i offers a desirable blend of performance, comfort, and reliability in a versatile size—equally at home on a family weekend or an island-hopping passage.",2025-11-14T15:30:00Z
monohull_009.pdf,VSL-2025-1143,Sailboat (Cruiser),1,"Monohull (fin keel, spade rudder)",Sail + inboard diesel (shaft drive),40.5,13.1,6.9,7861,Fiberglass (GRP),1,"Inboard diesel (Yanmar 3JH5E, 40 hp)",Diesel,915,1,Fractional sloop,3,6,2013,199000,United States,Jeanneau,Sun Odyssey 409,Used - Excellent,1380,7.8,6.5,520,200,530,True,True,False,2,0.323,88,86,90,45,False,"Immaculate 2013 Jeanneau Sun Odyssey 409, a proven performance cruiser that blends modern hull design with a generous, easy-to-handle sail plan. This 3-cabin/2-head layout offers remarkable space for a 40-footer, with twin wheels in the cockpit for excellent helm ergonomics and a wide, secure passagemaking deck. The boat shows extremely well with low-time Yanmar power, recent electronics, and desirable cruising upgrades suited for extended coastal cruising or comfortable island hops. On deck, the fractional sloop rig with German-style mainsheet, Lewmar winches, and a deep fin keel delivers confident upwind ability and balanced helm feel. Sail inventory includes a fully battened mainsail and 135% genoa (both in very good condition), plus a light-air Code 0 on a furler for effortless reaching. Under power, the reliable Yanmar 3JH5E 40 hp moves the boat efficiently at a 6.5-knot cruise, with approximately 1,380 engine hours. Twin helms, a fold-down swim platform, and wide cockpit seating make days under way and at anchor equally enjoyable. Below, the Sun Odyssey 409 impresses with a bright, airy salon, U-shaped dinette, and linear galley equipped with a gimballed stove/oven, top/front-load refrigeration, and ample storage. Three private cabins sleep six comfortably, complemented by two heads with shower facilities. Climate comfort is ensured by shore-power air conditioning; a compact diesel generator provides power at anchor for battery charging and light hotel loads. Large water capacity (530 L) and efficient systems extend your time off-grid. Electronics include a modern MFD at the helm, autopilot, AIS transceiver, wind/depth/speed instruments, VHF with remote mic, and stereo with cockpit speakers. Safety is well covered with a 6-person coastal liferaft (service current), EPIRB, jacklines, harness points, offshore PFDs, and a complete flare and signaling kit. Ground tackle features a primary 20 kg anchor on all-chain rode with robust windlass. Highlights: - Jeanneau Sun Odyssey 409, 2013 model year, 3-cabin/2-head layout - Yanmar 40 hp inboard diesel (approx. 1,380 hrs), shaft drive - Fractional sloop rig, fin keel, twin wheels; main and 135% genoa in very good condition - Generator onboard; shore-power air conditioning - Modern electronics suite with autopilot and AIS - 200 L fuel, 530 L water; practical 520 nm motoring range at efficient speeds - Excellent overall condition; turnkey coastal cruiser This Sun Odyssey 409 represents one of the most balanced packages in the 40-foot class—quick, comfortable, and simple to sail short-handed. Currently located in the United States and shown by appointment. All specifications believed accurate but not guaranteed—subject to buyer verification. Broker Notes: Additional photos available upon request",2025-11-14T10:22:00Z
